frame, time(ms)
1 39.4326
2 69.0439
3 101.964
4 132.653
5 164.621
6 201.912
7 230.597
8 261.519
9 294.463
10 328.146
11 361.391
12 393.342
13 423.642
14 469.43
15 501.468
16 535.223
17 564.685
18 597.725
19 629.45
20 661.902
21 693.922
22 726.643
23 758.857
24 790.421
25 821.758
26 852.759
27 884.943
28 934.572
29 965.7
30 997.472
31 1032.62
32 1063.84
33 1094.05
34 1125.83
35 1158.36
36 1189.86
37 1220.79
38 1253.75
39 1285.95
40 1317.62
41 1349.74
42 1399.02
43 1431.22
44 1461.02
45 1493.75
46 1525.59
47 1557.53
48 1590.27
49 1623.73
50 1653.94
51 1685.98
52 1719.27
53 1749.18
54 1782.51
55 1815.93
56 1862.59
57 1895.66
58 1926.54
59 1959.63
60 1991.82
61 2023.55
62 2056.16
63 2085.15
64 2120.15
65 2150.08
66 2181.52
