frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
3153, 0, 127.286, 0.88, 1, 1.50, 2.51, 2.20, 1.15, 0.21, 2.02, 0.44, 0.73, 0.12, 1.13, 3.08, 3.37, 1.47, 2.44, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3154, 0, 127.325, 0.88, 1, 1.34, 2.24, 2.36, 1.39, 0.31, 1.76, 0.63, 0.75, 0.11, 0.82, 3.19, 3.29, 1.19, 2.28, 0.00, 0.25, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3155, 0, 127.379, 0.88, 1, 1.15, 1.81, 2.09, 1.54, 0.30, 1.69, 0.46, 0.70, 0.22, 1.08, 2.90, 3.19, 1.56, 2.29, 0.00, 0.14, 0.11, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3156, 0, 127.419, 0.88, 1, 1.19, 2.14, 2.10, 1.52, 0.34, 1.84, 0.30, 0.80, 0.09, 0.95, 3.09, 3.38, 1.65, 2.12, 0.00, 0.39, 0.01, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3157, 0, 127.449, 0.88, 1, 1.32, 2.59, 2.56, 2.10, 0.35, 1.76, 0.35, 0.56, 0.16, 1.22, 3.02, 3.17, 1.77, 2.26, 0.00, 0.00, 0.00, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3158, 0, 127.481, 0.88, 1, 1.60, 2.33, 1.99, 1.86, 0.19, 1.56, 0.48, 0.62, 0.10, 1.13, 3.01, 3.39, 1.74, 2.43, 0.00, 0.00, 0.17, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3159, 0, 127.512, 0.88, 1, 1.19, 2.35, 2.23, 1.60, 0.36, 1.69, 0.40, 0.55, 0.09, 1.01, 3.00, 3.12, 1.44, 2.41, 0.00, 0.00, 0.06, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3160, 0, 127.543, 0.88, 1, 1.42, 2.33, 2.02, 1.92, 0.06, 1.58, 0.45, 0.34, 0.06, 1.07, 3.04, 3.03, 1.53, 2.29, 0.00, 0.00, 0.02, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3161, 0, 127.590, 0.88, 1, 1.45, 2.52, 2.36, 2.24, 0.35, 1.63, 0.63, 0.81, 0.20, 1.22, 2.96, 2.99, 1.54, 2.47, 0.00, 0.24, 0.00, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3162, 0, 127.622, 0.88, 1, 1.26, 2.28, 2.07, 1.32, 0.25, 1.49, 0.29, 0.64, 0.08, 1.25, 2.89, 3.22, 1.48, 2.31, 0.00, 0.12, 0.02, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
