frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
8207, 0, 331.649, 0.98, 1, 1.73, 1.94, 3.28, 0.52, 1.23, 2.79, 1.21, 0.92, 0.15, 0.46, 1.54, 1.52, 0.01, 1.41, 0.43, 0.11, 0.99, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8208, 0, 331.679, 0.98, 1, 1.70, 2.10, 3.60, 0.66, 1.16, 2.98, 1.41, 1.05, 0.11, 0.44, 1.23, 1.36, 0.00, 1.45, 0.60, 0.34, 0.48, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8209, 0, 331.727, 0.98, 1, 1.41, 1.38, 3.41, 0.66, 1.22, 3.04, 1.24, 0.96, 0.17, 0.45, 1.65, 1.67, 0.00, 1.45, 0.28, 0.48, 0.70, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8210, 0, 331.759, 0.98, 1, 1.52, 1.34, 3.36, 0.21, 1.19, 2.91, 1.13, 1.00, 0.08, 0.42, 1.50, 1.49, 0.00, 1.52, 0.42, 0.04, 0.64, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8211, 0, 331.807, 0.98, 1, 1.54, 1.33, 3.27, 0.42, 1.25, 2.95, 1.30, 1.11, 0.13, 0.51, 1.42, 1.85, 0.23, 1.50, 0.40, 0.52, 0.82, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8212, 0, 331.855, 0.98, 1, 1.75, 1.69, 3.46, 0.22, 1.21, 2.82, 1.27, 1.04, 0.07, 0.44, 1.51, 1.41, 0.00, 1.40, 0.49, 0.38, 0.73, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8213, 0, 331.890, 0.98, 1, 1.57, 1.80, 3.30, 0.49, 1.26, 3.15, 1.29, 1.12, 0.21, 0.55, 1.34, 1.40, 0.00, 1.41, 0.75, 0.46, 0.71, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8214, 0, 331.946, 0.98, 1, 1.51, 1.43, 3.47, 0.54, 1.30, 3.06, 1.31, 1.12, 0.26, 0.43, 1.66, 1.78, 0.00, 1.50, 0.31, 0.35, 0.35, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8215, 0, 331.985, 0.98, 1, 1.42, 1.51, 3.50, 0.16, 1.32, 3.25, 1.26, 1.29, 0.19, 0.79, 1.15, 1.61, 0.24, 1.48, 0.46, 0.54, 0.58, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8215, 0, 331.985, 0.98, 1, 1.42, 1.51, 3.50, 0.16, 1.32, 3.25, 1.26, 1.29, 0.19, 0.79, 1.15, 1.61, 0.24, 1.48, 0.46, 0.54, 0.58, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8216, 0, 332.027, 0.98, 1, 1.51, 1.52, 3.50, 0.18, 1.21, 3.17, 1.24, 1.16, 0.25, 0.41, 1.67, 1.35, 0.00, 1.44, 0.51, 0.26, 0.92, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8217, 0, 332.080, 0.98, 1, 1.63, 1.72, 3.57, 0.37, 1.25, 2.88, 1.34, 1.25, 0.26, 0.60, 1.60, 1.55, 0.00, 1.42, 0.39, 0.33, 0.73, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8218, 0, 332.127, 0.98, 1, 1.44, 1.81, 3.45, 0.42, 1.27, 3.23, 1.48, 1.18, 0.26, 0.47, 1.71, 1.61, 0.00, 1.41, 0.14, 0.56, 1.04, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8219, 0, 332.158, 0.98, 1, 1.75, 1.62, 3.52, 0.62, 1.28, 3.47, 1.50, 1.19, 0.17, 0.55, 1.62, 1.72, 0.00, 1.48, 0.38, 0.79, 1.04, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8220, 0, 332.207, 0.98, 1, 1.47, 1.26, 3.32, 0.21, 1.20, 3.23, 1.21, 1.16, 0.23, 0.64, 1.62, 1.71, 0.06, 1.49, 0.44, 0.29, 0.79, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8221, 0, 332.229, 0.98, 1, 1.46, 1.24, 3.34, 0.26, 1.17, 3.21, 1.15, 1.04, 0.19, 0.56, 1.74, 1.91, 0.00, 1.52, 0.50, 0.23, 0.68, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8222, 0, 332.261, 0.98, 1, 1.70, 1.61, 3.48, 0.40, 1.21, 3.30, 1.17, 1.34, 0.24, 0.40, 1.76, 1.62, 0.06, 1.46, 0.48, 0.34, 0.93, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8223, 0, 332.288, 0.98, 1, 1.63, 1.56, 3.48, 0.44, 1.23, 3.13, 1.34, 1.15, 0.13, 0.52, 1.91, 1.59, 0.00, 1.44, 0.58, 0.54, 0.86, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8224, 0, 332.320, 0.98, 1, 1.58, 1.67, 3.39, 0.12, 1.21, 3.15, 1.34, 0.99, 0.17, 0.68, 1.65, 1.75, 0.00, 1.53, 0.24, 0.39, 0.68, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
