frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
38;;;;;0.98;0.26;1.99;0.3;1.31;3.53;0.97;1.2;0.2;0.57;0.71;1.25;0.89;0.05;0.31;1.09;0.15;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;Angry
39;;;;;0;0;2.02;0.19;1.4;3.15;1.6;1.38;0.2;0.57;1.08;1.95;0.62;0.05;0.8;0.75;0.15;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;Angry
40;;;;;0.97;0;2;0.19;0.77;2.03;1.23;0.91;0;0;1.46;1.39;1.44;0;0.71;0.87;0.5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Angry
41;;;;;0.97;0;0.99;0.19;0.24;1.34;0.63;0.32;0;0;1.11;1.32;0.82;0;0.71;0.87;0.35;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Angry
44;;;;;0.57;0.14;1.74;0;0;0.35;0.18;0;0;0.78;0;0.41;0;0.12;0.85;0;0.31;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Angry
45;;;;;0.99;0.25;1.74;0;0.17;0.95;0.18;0;0;0.84;0;1.11;0;0.12;0.85;0;0.34;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Angry
46;;;;;0.5;0.12;0.36;0.25;0.39;0.97;0.38;0.36;0;0.89;0.15;0.96;0;0.05;1.36;0.41;0.34;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Angry
47;;;;;0.42;0.11;0.56;0.25;0.8;1.07;0.2;0.92;0.41;1.04;0.15;1.83;0.37;0.13;0.79;1;0.03;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Angry
48;;;;;0;0;0.56;0.25;0.63;0.47;0.2;0.92;0.41;0.98;0.4;2.32;0.37;0.15;0.79;1.53;0.09;0;0;1;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;Angry
49;;;;;0;0;1.07;0;0.56;1.19;0;0.66;0.41;0.98;0.25;2.53;0.37;0.88;0.58;1.63;0.18;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;Angry
50;;;;;0;0;1.53;0;0.47;3.28;0;0.29;0;0.92;0;1.4;0;2.35;0.89;1.52;0.27;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;1;1;Angry
1;;;;;0;0;1.94;0;1.31;2.79;0;1.67;0.66;0;0;0.22;0;0;1.58;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;1;Disgust
2;;;;;0.17;0;1.11;0;1.63;3.53;0.25;1.71;0.76;0.74;0;0.95;0.39;0.13;1.31;0.12;0.18;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;Disgust
3;;;;;0.17;0;0.56;0;2.1;4.03;0.55;2.03;0.96;1.06;0;0.88;0.39;0.13;1.47;0.12;0.18;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;Disgust
4;;;;;0.22;0;0.88;0;1.48;3.09;0.31;2.02;0.45;0.61;1.15;0.47;0.85;0.22;1.43;0.28;0.48;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;Disgust
5;;;;;0.14;0;0.88;0;1.23;2.06;0.31;1.44;0.42;0.61;1.15;0.47;0.62;0.22;0.69;0.15;0.48;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Disgust
7;;;;;0.65;0;0.98;0.19;0.18;0.73;0;0.55;0.24;0;0;0;0;0;1.53;0.2;0.7;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Disgust
8;;;;;0.65;0;1.18;0.35;0.18;0.73;0;0.77;0.36;0;0;0;0;0;2.01;0.25;0.7;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Disgust
9;;;;;0.15;0;1.04;0.16;0.39;1.56;0.08;1.09;0.36;0.26;0;0.76;0;0;1.52;1.35;1.99;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;Disgust
10;;;;;0;0;1;0.16;0.44;1.91;0.08;0.99;0.65;0.74;0;0.76;0;0.1;1.21;1.66;1.54;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;Disgust
11;;;;;1.03;0.4;0.8;0.45;0.44;2.32;0.08;1.19;0.78;0.74;0;0.95;0;0.23;1.14;1.94;1.54;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;Disgust
12;;;;;1.03;0.4;0.83;0.45;0.22;1.84;0;1.63;0.78;0.49;0;0.88;0;0.6;0.99;1.38;0.25;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;Disgust
13;;;;;1.03;0.4;1.1;0.57;0.12;0.97;0;1.65;0.26;0;0.12;1.39;0.08;0.57;0.41;1.07;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;Disgust
14;;;;;0;0;1.11;0.12;0.51;1.28;0.04;1.73;0.07;0.08;0.12;1.25;0.08;0.44;0.79;0.74;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;Disgust
15;;;;;0;0.12;1.35;0.12;0.7;0.72;0.04;0.92;0.26;0.18;0.67;0.86;1.01;0.59;1.31;0.13;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;Disgust
16;;;;;0;0.12;1.3;0;1.06;1.72;0.04;1.43;0.28;0.24;0.62;0.76;0.93;0.54;1.39;0.42;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;Disgust
17;;;;;0;0.12;1.28;0;0.67;1;0;0.92;0.21;0.16;0.62;0.71;0.93;0.54;0.6;0.42;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;Disgust
19;;;;;0.1;0;0.97;0;0.36;1.05;0;1.06;0;0.29;0.92;1.35;0.53;0;0.11;1.5;1.39;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Disgust
20;;;;;0.93;0.22;0.97;0;0.8;1.89;0;1.8;0.33;0.54;0.92;1.97;1.05;0;0.11;1.58;1.73;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;Disgust
21;;;;;2.45;1.16;0.57;0.86;0.49;1.4;0;1.47;0.38;0.82;0;0.91;0.52;0;0.97;1.3;1.73;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;Disgust
22;;;;;3.7;1.84;0;0.86;0.89;2.04;0;2.23;1.16;0.99;0.15;0.66;0.52;0;1.64;0.47;0.33;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;Disgust
23;;;;;3.41;1.62;0.94;0.86;0.53;1.79;0;1.69;0.83;0.95;0.91;0.68;0.15;0;2.02;1.04;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Disgust
24;;;;;1.8;0.68;1.67;0;1;2.37;0.53;1.59;0.77;0.67;1.22;1.29;0.15;0;1.04;1.01;0.05;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;Disgust
25;;;;;0.54;0;3.27;0;0.61;2.29;0.53;0.65;0;0.2;1.07;1.35;0.15;0;0.8;1.56;0.5;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;Disgust
26;;;;;0;0;3.11;0;0.95;2.35;0.82;1.14;0;0;0.71;1.67;0;0;0.94;1.13;0.71;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Disgust
27;;;;;0;0.39;2.68;0;0.74;1.57;0.63;1.68;0.25;0.38;0.4;1.16;0;0.69;1.08;1.69;0.66;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;Disgust
28;;;;;0;0.39;2.33;0;0.73;0.88;0.63;1.75;0.25;0.38;0.97;1.86;0.4;0.69;1.07;2.42;0.33;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;Disgust
29;;;;;0.28;0.98;2.19;0;0.55;1.81;0.35;1.4;0.31;0.38;0.57;1.14;0.4;0.69;0.67;3.08;0.12;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Disgust
30;;;;;0.28;0.6;1.89;0;0.24;1.81;0;0.45;0.06;0;0.57;0.98;0.4;0;0.52;2.36;0.12;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Disgust
33;;;;;1.67;1.67;1.3;0.34;0.92;1.05;0;1.33;0.27;0.11;0.44;0.74;0.26;0;0.43;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Disgust
34;;;;;1.67;1.67;1.3;0.34;0.92;1.05;0;1.33;0.27;0.11;0.44;0.74;0.26;0;0.43;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Disgust
37;;;;;0;0;1.79;0;1.4;1.34;0.16;1.7;0.39;1.15;0.88;0.36;0.72;0.36;1.02;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Disgust
38;;;;;0.23;0;2.25;0;1.82;1.98;0.16;2.13;0.68;1.15;1.03;0.78;0.72;0.36;1.65;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Disgust
39;;;;;0.23;0;1.47;0;1.77;2.76;0.12;1.67;0.81;1.4;0.77;1.42;0.72;0.36;0.68;0;0.62;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Disgust
40;;;;;0.75;0.34;1.26;0;1.61;3.61;0.12;0.99;0.57;0.78;0.15;1.32;0;0;0.63;0;0.92;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Disgust
