frame; face_id; timestamp; confidence; success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;emotion
51;0;2.991;0.98;1;0;0;0.37;0;0;0;0.07;0;0.25;0.23;0.21;0.24;0.03;0.01;0.19;0.04;0.08;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
52;0;3.03;0.98;1;0;0;0.36;0;0;0;0.11;0;0.21;0.24;0.09;0.32;0.03;0;0.34;0.08;0.15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
53;0;3.073;0.98;1;0;0;0.29;0;0;0;0.17;0;0.17;0.47;0.19;0.51;0.14;0;0.37;0.15;0.21;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
54;0;3.114;0.98;1;0;0;0.37;0.34;0;0;0.19;0;0.12;0.34;0.14;0.51;0.11;0;0.18;0.14;0.16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
55;0;3.158;0.98;1;0;0;0.41;0.7;0;0;0.18;0;0.09;0.27;0.1;0.46;0.11;0;0.03;0.1;0.09;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
56;0;3.189;0.98;1;0;0;0.39;0.93;0;0;0.11;0;0.11;0.06;0;0.21;0.1;0;0;0;0.04;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
57;0;3.239;0.98;1;0;0;0.39;0.77;0;0;0.05;0;0.14;0.11;0.06;0.11;0.2;0;0;0;0.13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
58;0;3.27;0.98;1;0;0;0.38;0.41;0;0;0.05;0;0.21;0.17;0.1;0.12;0.29;0.04;0.03;0;0.13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
59;0;3.301;0.98;1;0;0;0.38;0.18;0;0;0.11;0;0.25;0.28;0.18;0.28;0.31;0.1;0.03;0.05;0.09;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
60;0;3.334;0.98;1;0;0;0.32;0.01;0;0;0.11;0;0.28;0.49;0.12;0.36;0.23;0.11;0.07;0.05;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
61;0;3.365;0.98;1;0;0;0.28;0.01;0;0;0.05;0;0.27;0.65;0.08;0.38;0.17;0.08;0.04;0.05;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
62;0;3.4;0.98;1;0.08;0;0.29;0.01;0;0;0.06;0;0.25;0.7;0;0.38;0.1;0.02;0.15;0.04;0.01;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
63;0;3.43;0.98;1;0.14;0;0.43;0;0;0;0.12;0;0.25;0.64;0.03;0.35;0.11;0.02;0.19;0.04;0.01;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
64;0;3.496;0.98;1;0.17;0;0.46;0;0;0;0.14;0;0.3;0.59;0.03;0.29;0.08;0;0.18;0.05;0.18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
65;0;3.559;0.98;1;0.09;0;0.51;0.03;0;0;0.11;0;0.27;0.6;0.1;0.12;0.04;0;0.12;0.01;0.31;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
66;0;3.622;0.98;1;0.03;0;0.44;0.08;0;0;0.1;0;0.25;0.57;0.14;0.06;0.02;0;0.1;0.01;0.43;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
67;0;3.686;0.98;1;0;0;0.52;0.08;0;0;0.21;0;0.16;0.52;0.23;0.17;0.11;0;0.1;0;0.26;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
68;0;3.724;0.98;1;0;0;0.6;0.05;0;0;0.19;0;0.24;0.49;0.26;0.25;0.19;0.01;0.06;0.05;0.17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
69;0;3.766;0.98;1;0;0;0.71;0;0;0;0.16;0;0.32;0.48;0.24;0.36;0.29;0.01;0.03;0.12;0.07;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
70;0;3.797;0.98;1;0;0;0.58;0;0;0;0.05;0;0.36;0.46;0.31;0.35;0.18;0.01;0.08;0.11;0.14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
71;0;3.83;0.98;1;0;0;0.36;0;0;0;0.07;0;0.3;0.42;0.36;0.41;0.1;0;0.08;0.07;0.13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
72;0;3.866;0.98;1;0;0;0.09;0;0;0;0.09;0;0.28;0.38;0.32;0.4;0;0;0.05;0.09;0.11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
73;0;3.896;0.98;1;0;0;0.14;0;0;0;0.15;0;0.27;0.3;0.2;0.55;0.03;0;0;0.08;0.04;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
74;0;3.961;0.98;1;0;0;0.15;0;0;0;0.12;0;0.27;0.27;0.04;0.51;0.07;0;0;0.21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
75;0;4.028;0.98;1;0;0;0.15;0;0;0;0.14;0;0.28;0.2;0.16;0.63;0.11;0.02;0;0.13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
76;0;4.085;0.98;1;0;0.01;0.06;0;0;0;0.11;0;0.33;0.16;0.22;0.55;0.09;0.04;0;0.13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
77;0;4.115;0.98;1;0.01;0.01;0.22;0;0;0;0.19;0;0.32;0.12;0.35;0.55;0.05;0.04;0;0.06;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Sad
78;0;4.167;0.98;1;0.01;0.03;0.43;0;0;0;0.23;0;0.27;0.15;0.38;0.46;0.04;0.02;0;0.06;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
79;0;4.197;0.98;1;0.01;0.02;0.58;0;0;0;0.19;0;0.17;0.29;0.28;0.44;0.08;0;0.01;0.06;0.03;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
80;0;4.229;0.98;1;0;0.02;0.51;0;0;0;0.1;0;0.14;0.34;0.15;0.5;0.11;0.02;0.03;0;0.04;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
81;0;4.258;0.98;1;0;0;0.3;0;0;0;0.02;0;0.14;0.45;0;0.52;0.09;0.02;0.03;0;0.05;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
82;0;4.298;0.98;1;0;0;0.14;0;0;0;0.03;0.02;0.25;0.47;0.01;0.34;0.11;0.01;0.03;0.05;0.01;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
83;0;4.361;0.98;1;0.03;0.06;0.06;0;0;0;0.08;0.02;0.28;0.43;0.04;0.31;0.11;0;0.01;0.14;0.01;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
84;0;4.425;0.98;1;0.03;0.07;0.16;0;0;0;0.06;0.02;0.29;0.32;0.06;0.2;0.1;0.01;0.01;0.23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
85;0;4.489;0.98;1;0.03;0.07;0.22;0;0;0;0.05;0;0.29;0.33;0.05;0.32;0.07;0.01;0.01;0.18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
86;0;4.55;0.98;1;0;0.02;0.16;0;0;0;0.07;0;0.3;0.36;0.02;0.27;0.09;0.01;0.01;0.18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
87;0;4.631;0.98;1;0.03;0;0.13;0;0;0;0.13;0.01;0.32;0.41;0.01;0.24;0.09;0;0;0.16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
88;0;4.697;0.98;1;0.05;0.02;0.11;0;0;0;0.17;0.01;0.27;0.46;0.01;0.08;0.06;0;0.16;0.17;0.04;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
89;0;4.759;0.98;1;0.05;0.02;0.12;0.1;0;0;0.13;0.01;0.3;0.61;0.01;0;0;0;0.16;0.08;0.04;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
90;0;4.824;0.98;1;0.03;0.02;0.08;0.1;0;0;0.06;0;0.27;0.73;0;0.03;0;0;0.17;0.04;0.04;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
91;0;4.889;0.98;1;0.01;0;0.06;0.1;0;0;0.03;0;0.27;0.76;0;0.06;0;0;0.03;0.07;0.03;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
92;0;4.945;0.98;1;0.01;0;0.13;0;0;0;0.04;0;0.23;0.67;0.04;0.12;0;0;0.07;0.19;0.03;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
93;0;4.971;0.98;1;0.05;0;0.21;0;0;0;0.04;0;0.31;0.67;0.04;0.25;0;0.01;0.06;0.16;0.03;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
94;0;5.015;0.98;1;0.09;0;0.26;0;0;0;0.04;0;0.38;0.66;0.04;0.36;0;0.02;0.04;0.12;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
95;0;5.07;0.98;1;0.09;0;0.21;0.12;0;0;0.04;0;0.43;0.69;0;0.3;0;0.02;0.1;0.05;0.1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
96;0;5.105;0.98;1;0.04;0;0.14;0.23;0;0;0.12;0;0.39;0.65;0;0.16;0;0.01;0.22;0.16;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
97;0;5.157;0.98;1;0;0;0.11;0.29;0;0;0.17;0;0.38;0.6;0;0.04;0;0.02;0.3;0.24;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
98;0;5.189;0.98;1;0.08;0.12;0.26;0.29;0;0;0.13;0;0.42;0.5;0.06;0.21;0;0.02;0.2;0.19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
99;0;5.224;0.98;1;0.16;0.26;0.4;0.29;0;0;0.05;0;0.44;0.43;0.1;0.37;0;0.03;0.08;0.08;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
100;0;5.263;0.98;1;0.26;0.26;0.43;0.23;0;0;0.01;0;0.42;0.49;0.1;0.54;0.02;0.08;0.06;0.02;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
101;0;5.293;0.98;1;0.18;0.14;0.34;0.11;0;0;0.06;0;0.43;0.52;0.03;0.37;0.02;0.08;0.06;0.11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
102;0;5.352;0.98;1;0.19;0;0.26;0.01;0;0;0.06;0;0.43;0.52;0;0.31;0.02;0.07;0.06;0.11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
103;0;5.416;0.98;1;0.11;0.15;0.19;0.01;0;0;0.04;0;0.41;0.47;0;0.32;0.02;0.04;0;0.14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
104;0;5.481;0.98;1;0.13;0.32;0.1;0.01;0;0;0;0;0.34;0.52;0;0.49;0.03;0.09;0;0.14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
105;0;5.547;0.98;1;0.04;0.32;0.15;0;0;0;0;0;0.29;0.56;0;0.5;0.03;0.1;0.02;0.14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
106;0;5.585;0.98;1;0.06;0.24;0.24;0;0;0;0;0;0.27;0.46;0;0.37;0.01;0.09;0.02;0.09;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
107;0;5.624;0.98;1;0.06;0.11;0.32;0;0;0;0;0;0.28;0.43;0;0.2;0.04;0.04;0.02;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
108;0;5.66;0.98;1;0.08;0.14;0.17;0.12;0;0;0;0;0.22;0.4;0;0.09;0.04;0.03;0;0.03;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
109;0;5.687;0.98;1;0.05;0.07;0.15;0.22;0;0;0;0;0.22;0.42;0.03;0.14;0.03;0.02;0;0.03;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
110;0;5.753;0.98;1;0.04;0.03;0.29;0.22;0;0;0;0;0.17;0.34;0.03;0.16;0;0.02;0;0.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
111;0;5.824;0.98;1;0.03;0;0.38;0.1;0;0;0;0;0.25;0.4;0.03;0.19;0;0.06;0;0.21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
112;0;5.877;0.98;1;0.04;0;0.38;0;0;0;0;0;0.28;0.45;0.04;0.07;0;0.1;0;0.24;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
113;0;5.904;0.98;1;0.04;0;0.18;0;0;0;0;0;0.29;0.5;0.04;0.2;0;0.1;0;0.25;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
114;0;5.941;0.98;1;0.02;0.04;0.11;0;0;0;0.02;0;0.24;0.46;0.04;0.32;0.04;0.08;0;0.31;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
115;0;5.972;0.98;1;0.02;0.1;0.08;0;0;0;0.02;0;0.16;0.52;0;0.33;0.04;0.02;0.06;0.28;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
116;0;6.024;0.98;1;0.04;0.17;0.13;0;0;0;0.02;0;0.11;0.63;0;0.22;0.04;0.01;0.11;0.11;0.01;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
117;0;6.056;0.98;1;0.18;0.13;0.22;0.06;0;0;0;0;0.07;0.78;0.05;0.16;0;0;0.12;0.15;0.05;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
118;0;6.091;0.98;1;0.16;0.1;0.21;0.06;0;0;0;0;0.16;0.75;0.05;0.2;0;0.05;0.07;0.18;0.11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
119;0;6.153;0.98;1;0.27;0.12;0.25;0.14;0;0;0.01;0;0.15;0.65;0.05;0.29;0;0.05;0.05;0.26;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
120;0;6.225;0.98;1;0.14;0.12;0.16;0.08;0;0;0.01;0;0.17;0.4;0.02;0.34;0;0.11;0.06;0.26;0.06;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
121;0;6.278;0.98;1;0.14;0.08;0.12;0.08;0;0;0.01;0;0.12;0.2;0.02;0.43;0;0.11;0.09;0.38;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
122;0;6.333;0.98;1;0;0.01;0.05;0;0;0;0;0;0.23;0.1;0.02;0.28;0;0.13;0.09;0.31;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
123;0;6.363;0.98;1;0.09;0.24;0.08;0.02;0;0;0;0;0.26;0.25;0;0.25;0.02;0.07;0.12;0.19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
124;0;6.408;0.98;1;0.16;0.39;0.09;0.02;0;0;0;0;0.29;0.36;0;0.2;0.06;0.03;0.19;0.09;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
125;0;6.437;0.98;1;0.33;0.38;0.18;0.02;0;0;0;0;0.25;0.36;0;0.2;0.06;0.02;0.15;0.09;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
126;0;6.49;0.98;1;0.42;0.15;0.28;0;0;0;0;0;0.24;0.27;0;0.09;0.04;0.04;0.09;0.05;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
127;0;6.542;0.98;1;0.35;0;0.37;0.1;0;0;0;0;0.24;0.24;0.01;0.15;0.01;0.09;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
128;0;6.577;0.98;1;0.2;0.02;0.33;0.1;0;0;0;0;0.23;0.24;0.01;0.15;0.01;0.08;0.07;0.12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
129;0;6.614;0.98;1;0.03;0.06;0.27;0.1;0;0;0;0;0.21;0.22;0.01;0.16;0.01;0.09;0.09;0.22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
130;0;6.648;0.98;1;0.08;0.05;0.26;0;0;0;0.01;0;0.18;0.27;0;0.05;0;0.04;0.09;0.3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
131;0;6.679;0.98;1;0.06;0.06;0.17;0;0;0;0.01;0;0.22;0.47;0;0.14;0;0.05;0.03;0.28;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
132;0;6.744;0.98;1;0.05;0.02;0.1;0;0;0;0.01;0;0.24;0.63;0;0.18;0;0.06;0.05;0.29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
133;0;6.807;0.98;1;0;0.06;0;0;0;0;0;0;0.25;0.62;0;0.21;0;0.11;0.05;0.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
134;0;6.869;0.98;1;0;0.06;0.01;0;0;0;0;0;0.21;0.51;0;0.13;0;0.08;0.05;0.11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
135;0;6.897;0.98;1;0.08;0.06;0.01;0;0;0;0;0;0.17;0.37;0;0.08;0;0.07;0.06;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
136;0;6.951;0.98;1;0.13;0.02;0.02;0;0;0;0;0;0.15;0.29;0;0.01;0;0.05;0.12;0.01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
137;0;6.979;0.98;1;0.16;0.12;0.15;0;0;0;0;0;0.16;0.3;0;0;0;0.09;0.12;0.01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
138;0;7.015;0.98;1;0.12;0.25;0.31;0;0;0;0;0;0.19;0.4;0;0;0;0.09;0.06;0.01;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
139;0;7.048;0.98;1;0.13;0.25;0.31;0;0;0;0;0;0.21;0.45;0;0.03;0;0.07;0;0.03;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
140;0;7.08;0.98;1;0.13;0.21;0.31;0;0;0;0.02;0;0.15;0.51;0;0.15;0;0.03;0;0.2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
141;0;7.145;0.98;1;0.1;0.08;0.27;0;0;0;0.02;0;0.15;0.62;0;0.19;0.03;0.02;0.11;0.34;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
142;0;7.208;0.98;1;0.09;0.2;0.38;0.05;0;0;0.02;0;0.14;0.7;0;0.25;0.03;0.02;0.11;0.4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
143;0;7.269;0.98;1;0.1;0.21;0.35;0.11;0;0;0;0;0.19;0.69;0;0.23;0.02;0.02;0.11;0.28;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
144;0;7.299;0.98;1;0.1;0.21;0.31;0.11;0;0;0;0;0.15;0.62;0;0.34;0;0.04;0.04;0.27;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
145;0;7.334;0.98;1;0.05;0.09;0.26;0.06;0;0;0;0;0.16;0.64;0;0.34;0;0.09;0.04;0.32;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
146;0;7.371;0.98;1;0;0;0.15;0;0;0;0;0;0.13;0.51;0;0.28;0;0.09;0.13;0.34;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
147;0;7.416;0.98;1;0;0;0.06;0;0;0;0;0;0.15;0.35;0.02;0.14;0;0.05;0.17;0.3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
148;0;7.463;0.98;1;0.02;0.14;0.04;0;0;0;0;0;0.11;0.23;0.02;0.16;0.05;0.01;0.16;0.26;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
149;0;7.493;0.98;1;0.05;0.16;0.12;0.01;0;0;0;0;0.15;0.28;0.02;0.12;0.05;0.02;0.15;0.18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
150;0;7.544;0.98;1;0.09;0.16;0.2;0.01;0;0;0;0;0.17;0.35;0;0.11;0.05;0.02;0.18;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
151;0;7.588;0.98;1;0.07;0.03;0.16;0.01;0;0;0.04;0;0.21;0.45;0.02;0.01;0;0.01;0.22;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
152;0;7.623;0.98;1;0.06;0.07;0.08;0;0;0;0.04;0;0.22;0.53;0.02;0.08;0;0;0.18;0.19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
153;0;7.671;0.98;1;0.06;0.17;0.03;0;0;0;0.04;0;0.23;0.56;0.02;0.18;0;0;0.1;0.28;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
154;0;7.726;0.98;1;0.06;0.21;0.09;0.01;0;0;0;0;0.23;0.6;0;0.2;0;0;0.21;0.26;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
155;0;7.756;0.98;1;0.03;0.14;0.1;0.01;0;0;0;0;0.18;0.53;0;0.21;0;0.04;0.2;0.27;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
156;0;7.799;0.98;1;0;0.04;0.1;0.01;0;0;0;0;0.12;0.51;0;0.2;0;0.08;0.16;0.25;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
157;0;7.851;0.98;1;0.01;0;0.03;0;0;0;0;0;0.14;0.54;0;0.21;0;0.08;0.1;0.35;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
158;0;7.885;0.98;1;0.01;0;0.08;0;0;0;0;0;0.1;0.49;0;0.23;0;0.04;0.15;0.34;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
159;0;7.941;0.98;1;0.01;0.13;0.06;0;0;0;0;0;0.14;0.64;0;0.14;0.01;0.05;0.27;0.28;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
160;0;8.007;0.98;1;0.06;0.15;0.06;0.07;0;0;0;0;0.14;0.53;0.01;0.22;0.01;0.05;0.19;0.12;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
161;0;8.072;0.98;1;0.07;0.21;0;0.09;0;0;0;0;0.19;0.63;0.01;0.15;0.01;0.05;0.23;0.2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
162;0;8.138;0.98;1;0.07;0.09;0.1;0.11;0;0;0;0;0.19;0.59;0.01;0.29;0;0.01;0.14;0.26;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
163;0;8.2;0.98;1;0.02;0.06;0.16;0.1;0;0;0;0;0.17;0.65;0;0.31;0;0.02;0.22;0.3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
164;0;8.26;0.98;1;0.01;0.05;0.21;0.08;0;0;0;0;0.19;0.73;0;0.32;0;0.02;0.25;0.27;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
165;0;8.288;0.98;1;0.08;0.05;0.13;0.05;0;0;0;0;0.17;0.65;0;0.18;0.03;0.01;0.33;0.25;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
166;0;8.342;0.98;1;0.13;0.05;0.09;0;0;0;0;0;0.16;0.63;0;0.05;0.03;0;0.34;0.24;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
167;0;8.371;0.98;1;0.12;0;0.07;0;0;0;0;0;0.13;0.52;0.01;0.01;0.03;0;0.22;0.18;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Sad
168;0;8.406;0.98;1;0.05;0;0.08;0;0;0;0;0;0.14;0.53;0.03;0.01;0.01;0;0.1;0.21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
169;0;8.435;0.98;1;0;0.02;0.07;0;0;0;0;0;0.18;0.61;0.03;0.01;0;0.04;0.06;0.33;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
170;0;8.472;0.98;1;0;0.02;0.11;0;0;0;0;0;0.21;0.6;0.02;0.06;0;0.06;0.12;0.32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
171;0;8.536;0.98;1;0;0.02;0.12;0;0;0;0;0;0.23;0.59;0;0.06;0;0.08;0.16;0.25;0.02;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
172;0;8.598;0.98;1;0;0;0.19;0;0;0;0;0;0.21;0.56;0;0.11;0;0.04;0.11;0.14;0.02;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
173;0;8.664;0.98;1;0;0;0.12;0;0;0;0;0;0.26;0.53;0;0.14;0.03;0.06;0.04;0.12;0.02;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
174;0;8.731;0.98;1;0;0;0.08;0;0;0;0;0;0.3;0.46;0;0.18;0.03;0.04;0.09;0.22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
175;0;8.809;0.98;1;0;0;0.12;0;0;0;0;0;0.33;0.46;0;0.18;0.03;0.04;0.11;0.24;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
176;0;8.876;0.98;1;0.03;0;0.12;0;0;0;0;0;0.23;0.53;0;0.22;0;0.03;0.2;0.32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sad
