frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
32;;;;;0;0;1.07;0;0.88;0.88;0.92;1.02;0.37;0.6;0.87;1.47;0.33;0;0.73;0.13;0.22;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;Angry
33;;;;;0.11;0.05;1.07;0;0.76;0.79;0;1.07;0.37;0.73;0.59;1.36;0.68;0;0.81;0.41;0.4;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;Angry
34;;;;;0.26;0.05;1.22;0;0.76;0.77;0;0.98;0.37;0.53;0;0.51;1.07;0;0.81;0.28;0.23;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;Angry
35;;;;;0.37;0.05;1.74;0;0.07;0.8;0.04;0.71;0;0.13;0.42;1.11;1.07;0;0.83;0.79;0.17;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;Angry
36;;;;;1.12;0.64;2.57;0;0.22;1.25;0.04;1.21;0;1.41;0.42;1.98;1.02;0.03;0.76;0.51;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;Angry
37;;;;;1.23;0.76;2.55;0;0.45;1.39;0.04;1.87;0.27;1.51;0.42;1.99;0.31;0.03;1.39;1.12;0.52;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;Angry
38;;;;;1.76;1.23;2.18;0.46;0.38;0.61;0;1.21;0.39;1.51;1.09;2.87;0.56;0.03;0.63;1.23;0.89;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;Angry
39;;;;;1.4;0.59;1.94;0.46;0.89;1.12;0;1.27;0.65;0.39;1.32;2.44;0.77;0;0.63;2.02;0.89;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;Angry
40;;;;;1.15;1.08;1.24;0.46;1.78;2.17;0;1.17;1.38;1.41;1.32;2.31;0.88;0.51;0.77;1.9;0.37;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;Angry
41;;;;;0.51;0.61;1.73;0;2.1;3.44;0.39;1.18;1.26;1.67;0.23;0.77;0.63;0.51;0.98;2.23;0;1;1;1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;Angry
42;;;;;0.45;0.61;2.08;0;2.33;3.61;0.46;1.53;1.26;1.38;0;0.66;0.11;0.51;1.67;2.29;0.01;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;Angry
43;;;;;0.45;0;2.08;0;1.96;3.33;0.46;1.93;0.55;0.51;0.03;0.73;0;0;1.98;1.8;0.01;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;Angry
44;;;;;0.45;0;1;0.24;1.65;2.06;0.07;2.22;0.55;0.59;0.03;1.57;0;0.17;1.85;0.84;0.01;0;1;1;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;Angry
45;;;;;0;0;0.06;0.24;0.76;0.9;0;1.49;0.29;1.43;0.03;1.45;0;0.61;1.2;0.01;0.85;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;Angry
46;;;;;0.49;0.78;0.55;0.24;0.6;1.49;0;1.37;0.12;1.81;0;1.79;0.11;0.61;0.11;0.01;0.85;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;Angry
47;;;;;0.81;0.78;0.86;0.86;0.88;1.68;0;2.36;0.26;2.57;0.61;1.06;0.46;0.45;1.47;0.01;0.85;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;Angry
48;;;;;0.81;0.78;1.21;0.86;1.11;1.91;0;2.35;0.26;1.73;0.61;1.66;0.82;0;1.44;0.33;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;Angry
49;;;;;0.32;0;1.28;0.86;0.51;0.41;0;1.5;0.14;1.09;0.61;1.48;0.72;0;2;0.85;0.27;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
50;;;;;0;0;1.05;0;0.52;0.33;0;0.56;0.13;0;0.15;1.31;0.36;0;2.04;1.57;0.27;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
51;;;;;0;0;0.7;0;0.29;0.35;0;0.53;0.14;0;0.15;0.38;0;0;2.84;1.78;0.28;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
52;;;;;0;0;0.11;0;0.29;0.51;0;0.72;0.14;0.34;0.25;1.09;0;0.51;2.28;1.52;0.01;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Angry
53;;;;;0;0;0.02;0;0;0.4;0.43;0.37;0.01;0.33;0.11;1.55;0;0.51;0.97;0.8;0.01;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Angry
54;;;;;0;0;0.83;0;0.32;1.44;0.43;0.8;0;0.68;0.11;2.24;0;0.9;0.17;0.42;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;Angry
55;;;;;0.52;0;1.08;0;0.32;1.28;0.43;0.75;0;0.42;0.03;1.64;0;0.39;0.17;0.17;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Angry
56;;;;;0.71;0.25;1.08;0.56;0.48;1.77;0;0.84;0;0.42;0.36;1.28;0.71;0.39;0.63;0.8;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Angry
57;;;;;0.71;0.25;0.5;0.56;0.17;0.48;0;0.31;0;0.07;0.36;1.01;0.97;0;0.73;0.82;0.08;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Angry
58;;;;;0.19;0.48;0.24;0.56;0.9;1.16;0;0.9;0.33;0.68;0.32;1.02;1.03;0.47;0.73;0.82;0.08;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;Angry
59;;;;;0;0.23;0.62;0;1.38;1.84;0.01;1.47;0.57;0.89;0;1.08;0.32;0.47;0.95;0.66;0.08;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;Angry
